GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BirimTestOrnek1,tr.edu.medipol.yova.birimtestornek1,Hesap,8,18,1,1,2,5,2,4,1,4
BirimTestOrnek1,tr.edu.medipol.yova.birimtestornek1,Main,14,12,0,0,5,4,2,1,2,1
